order_id,customer_id,order_date,order_status,shipping_city,shipping_state,payment_method
45,163,2025-04-02,Delivered,Nagpur,Maharashtra,Net Banking
46,378,2025-06-16,Delivered,Nagpur,Maharashtra,Cash on Delivery
47,91,2025-06-04,Delivered,Hyderabad,Telangana,Debit Card
48,181,2025-03-12,Delivered,Mumbai,Maharashtra,UPI
49,644,2025-12-23,Delivered,Lucknow,Uttar Pradesh,UPI
50,250,2025-06-21,Delivered,Delhi,Delhi,Credit Card
51,100,2025-03-20,Delivered,Chennai,Tamil Nadu,Credit Card
52,453,2025-11-09,Delivered,Pune,Maharashtra,Credit Card
53,231,2025-02-15,Delivered,Ahmedabad,Gujarat,Cash on Delivery
54,349,2025-02-13,Delivered,Mumbai,Maharashtra,Credit Card
55,444,2025-06-19,Delivered,Jaipur,Rajasthan,Debit Card
56,270,2025-12-06,Returned,Lucknow,Uttar Pradesh,UPI
57,235,2025-12-30,Delivered,Kolkata,West Bengal,Credit Card
58,686,2025-12-14,Delivered,Chennai,Tamil Nadu,Debit Card
59,682,2025-11-17,Delivered,Nagpur,Maharashtra,Cash on Delivery
60,21,2025-03-22,Delivered,Bengaluru,Karnataka,Credit Card
61,189,2025-07-30,Cancelled,Ahmedabad,Gujarat,UPI
62,326,2025-09-15,Delivered,Kolkata,West Bengal,Net Banking
63,659,2025-12-30,Delivered,Ahmedabad,Gujarat,Net Banking
64,510,2025-01-22,Delivered,Kolkata,West Bengal,UPI
65,258,2025-05-27,Delivered,Chennai,Tamil Nadu,Credit Card
66,66,2025-11-30,Delivered,Delhi,Delhi,Debit Card
67,336,2025-02-13,Delivered,Pune,Maharashtra,Net Banking
68,10,2025-08-17,Delivered,Mumbai,Maharashtra,Credit Card
69,424,2025-11-08,Delivered,Bengaluru,Karnataka,Net Banking
70,665,2025-04-17,Delivered,Jaipur,Rajasthan,Credit Card
71,139,2025-11-12,Delivered,Bengaluru,Karnataka,Cash on Delivery
72,534,2025-12-01,Delivered,Nagpur,Maharashtra,Credit Card
73,158,2025-06-12,Delivered,Lucknow,Uttar Pradesh,Cash on Delivery
74,272,2025-12-11,Delivered,Kochi,Kerala,Net Banking
75,603,2025-11-05,Delivered,Lucknow,Uttar Pradesh,Debit Card
76,575,2025-11-18,Delivered,Bengaluru,Karnataka,UPI
77,380,2025-11-25,Delivered,Delhi,Delhi,Cash on Delivery
78,476,2025-07-10,Returned,Kolkata,West Bengal,UPI
79,695,2025-09-26,Delivered,Hyderabad,Telangana,Cash on Delivery
80,380,2025-11-01,Delivered,,Delhi,Debit Card
81,361,2025-11-11,Delivered,Kochi,Kerala,UPI
82,402,2025-12-16,Delivered,Jaipur,Rajasthan,Debit Card
83,249,2025-04-02,Delivered,Chennai,Tamil Nadu,Cash on Delivery
84,4,2025-04-25,Returned,Bengaluru,Karnataka,Debit Card
85,635,2025-09-18,Delivered,Mumbai,Maharashtra,UPI
86,10,2025-11-14,Delivered,Mumbai,Maharashtra,Credit Card
87,626,2025-12-31,Delivered,Ahmedabad,Gujarat,UPI
88,487,2025-11-10,Delivered,Chennai,Tamil Nadu,Credit Card
89,415,2025-12-28,Delivered,,Maharashtra,Debit Card
90,212,2025-07-21,Delivered,Mumbai,Maharashtra,Credit Card
91,673,2025-03-11,Delivered,Hyderabad,Telangana,Net Banking
92,197,2025-05-18,Delivered,Kolkata,West Bengal,UPI
93,680,2025-02-15,Delivered,Mumbai,Maharashtra,Cash on Delivery
94,325,2025-01-06,Returned,Lucknow,Uttar Pradesh,Debit Card
95,303,2025-11-06,Delivered,Ahmedabad,Gujarat,Debit Card
96,71,2025-11-06,Delivered,Lucknow,Uttar Pradesh,Credit Card
97,253,2025-12-30,Delivered,Ahmedabad,Gujarat,Net Banking
98,308,2025-07-19,Delivered,Hyderabad,Telangana,Debit Card
99,272,2025-11-23,Delivered,Kochi,Kerala,Debit Card
100,514,2025-01-07,Delivered,Nagpur,Maharashtra,Credit Card
101,618,2025-11-06,Delivered,Pune,Maharashtra,UPI
102,69,2025-11-24,Delivered,Jaipur,Rajasthan,Debit Card
103,501,2025-04-13,Delivered,Kolkata,West Bengal,Cash on Delivery
104,461,2025-12-07,Delivered,Lucknow,Uttar Pradesh,UPI
105,41,2025-09-04,Delivered,Jaipur,Rajasthan,UPI
106,532,2025-11-25,Delivered,Mumbai,Maharashtra,Debit Card
107,540,2025-06-07,Delivered,Pune,Maharashtra,UPI
108,384,2025-12-15,Delivered,Bengaluru,Karnataka,Debit Card
109,556,2025-12-23,Cancelled,Mumbai,Maharashtra,Net Banking
110,40,2025-11-27,Delivered,Bengaluru,Karnataka,Cash on Delivery
111,637,2025-05-26,Delivered,Mumbai,Maharashtra,Cash on Delivery
112,494,2025-10-13,Delivered,Pune,Maharashtra,Cash on Delivery
113,92,2025-08-26,Cancelled,Jaipur,Rajasthan,Net Banking
114,69,2025-06-21,Delivered,Jaipur,Rajasthan,Credit Card
115,26,2025-06-16,Delivered,Nagpur,Maharashtra,Net Banking
116,260,2025-08-23,Cancelled,Ahmedabad,Gujarat,Debit Card
117,466,2025-11-10,Delivered,Lucknow,Uttar Pradesh,Net Banking
118,69,2025-04-24,Delivered,Jaipur,Rajasthan,Net Banking
119,559,2025-02-20,Delivered,Bengaluru,Karnataka,Net Banking
120,399,2025-10-20,Delivered,Hyderabad,Telangana,Credit Card
121,452,2025-08-26,Delivered,Chennai,Tamil Nadu,Net Banking
122,513,2025-05-19,Delivered,Kochi,Kerala,Debit Card
123,551,2025-08-27,Delivered,Hyderabad,Telangana,UPI
124,235,2025-12-26,Delivered,Kolkata,West Bengal,Cash on Delivery
125,9,2025-12-16,Delivered,Lucknow,Uttar Pradesh,UPI
126,383,2025-09-24,Delivered,Hyderabad,Telangana,Net Banking
127,26,2025-10-24,Delivered,Nagpur,Maharashtra,Cash on Delivery
128,252,2025-03-17,Delivered,Mumbai,Maharashtra,Credit Card
129,299,2025-01-18,Delivered,Hyderabad,Telangana,Credit Card
130,237,2025-10-07,Delivered,Pune,Maharashtra,Cash on Delivery
131,257,2025-12-10,Delivered,Hyderabad,Telangana,Credit Card
132,197,2025-03-17,Delivered,Kolkata,West Bengal,Debit Card
133,226,2025-03-13,Delivered,Kolkata,West Bengal,Net Banking
134,263,2025-07-12,Returned,Bengaluru,Karnataka,Cash on Delivery
135,471,2025-03-20,Delivered,Kolkata,West Bengal,Credit Card
136,656,2025-09-01,Returned,Bengaluru,Karnataka,Credit Card
137,132,2025-05-29,Cancelled,Nagpur,Maharashtra,UPI
138,679,2025-12-17,Returned,Jaipur,Rajasthan,Credit Card
139,154,2025-12-20,Delivered,Chennai,Tamil Nadu,UPI
140,338,2025-07-05,Delivered,Jaipur,Rajasthan,Credit Card
141,197,2025-02-27,Cancelled,Kolkata,West Bengal,Net Banking
142,652,2025-12-25,Delivered,Chennai,Tamil Nadu,Cash on Delivery
143,343,2025-04-20,Cancelled,Nagpur,Maharashtra,Credit Card
144,639,2025-01-21,Delivered,Jaipur,Rajasthan,Debit Card
145,425,2025-12-14,Delivered,Lucknow,Uttar Pradesh,UPI
146,588,2025-03-28,Delivered,Chennai,Tamil Nadu,Net Banking
147,160,2025-05-20,Delivered,Chennai,Tamil Nadu,Net Banking
148,559,2025-11-12,Delivered,Bengaluru,Karnataka,UPI
149,110,2025-01-17,Delivered,Bengaluru,Karnataka,UPI
150,136,2025-10-04,Returned,Ahmedabad,Gujarat,Net Banking
151,446,2025-12-28,Delivered,Jaipur,Rajasthan,Credit Card
152,2,2025-12-15,Delivered,Chennai,Tamil Nadu,Net Banking
153,534,2025-06-22,Returned,Nagpur,Maharashtra,Credit Card
154,498,2025-04-26,Delivered,Pune,Maharashtra,UPI
155,499,2025-09-01,Delivered,Kochi,Kerala,Cash on Delivery
156,368,2025-11-02,Returned,,Maharashtra,Debit Card
157,673,2025-11-30,Delivered,Hyderabad,Telangana,Net Banking
158,207,2025-12-09,Delivered,Kolkata,West Bengal,Credit Card
159,365,2025-12-21,Returned,Chennai,Tamil Nadu,UPI
160,537,2025-03-13,Delivered,Nagpur,Maharashtra,Cash on Delivery
161,22,2025-11-08,Delivered,Kochi,Kerala,Credit Card
162,45,2025-12-05,Delivered,Bengaluru,Karnataka,Credit Card
163,386,2025-01-28,Delivered,Kochi,Kerala,Debit Card
164,416,2025-06-04,Delivered,Hyderabad,Telangana,Credit Card
165,16,2025-09-09,Delivered,Bengaluru,Karnataka,UPI
166,472,2025-11-29,Delivered,Jaipur,Rajasthan,Debit Card
167,240,2025-12-09,Delivered,Delhi,Delhi,Debit Card
168,548,2025-10-13,Delivered,Mumbai,Maharashtra,Credit Card
169,360,2025-11-24,Delivered,Nagpur,Maharashtra,Net Banking
170,465,2025-12-31,Delivered,Kochi,Kerala,Net Banking
171,212,2025-05-08,Delivered,Mumbai,Maharashtra,Net Banking
172,299,2025-12-10,Delivered,Lucknow,Uttar Pradesh,Cash on Delivery
173,591,2025-12-28,Delivered,Ahmedabad,Gujarat,Debit Card
174,540,2025-09-13,Delivered,Pune,Maharashtra,Debit Card
175,52,2025-10-12,Returned,Pune,Maharashtra,Debit Card
176,528,2025-12-26,Delivered,Jaipur,Rajasthan,Cash on Delivery
177,586,2025-05-07,Delivered,Kochi,Kerala,Debit Card
178,175,2025-02-24,Delivered,Jaipur,Rajasthan,Net Banking
179,124,2025-06-16,Returned,Nagpur,Maharashtra,Debit Card
180,224,2025-12-20,Delivered,Jaipur,Rajasthan,Credit Card
181,265,2025-03-03,Delivered,Lucknow,Uttar Pradesh,Cash on Delivery
182,581,2025-08-11,Delivered,Bengaluru,Karnataka,Net Banking
183,156,2025-12-02,Delivered,Mumbai,Maharashtra,UPI
184,218,2025-05-08,Cancelled,Lucknow,Uttar Pradesh,Cash on Delivery
185,669,2025-01-09,Returned,Kochi,Kerala,Debit Card
186,83,2025-05-13,Delivered,Delhi,Delhi,UPI
187,52,2025-07-27,Delivered,Pune,Maharashtra,Net Banking
188,443,2025-10-03,Delivered,Chennai,Tamil Nadu,UPI
189,326,2025-12-07,Delivered,Kolkata,West Bengal,Net Banking
190,640,2025-06-11,Delivered,Bengaluru,Karnataka,UPI
191,143,2025-09-17,Delivered,Chennai,Tamil Nadu,Net Banking
192,8,2025-03-24,Delivered,Jaipur,Rajasthan,Credit Card
193,444,2025-11-02,Cancelled,Jaipur,Rajasthan,UPI
194,189,2025-12-20,Returned,Ahmedabad,Gujarat,Net Banking
195,304,2025-02-22,Delivered,Jaipur,Rajasthan,UPI
196,204,2025-11-29,Delivered,Ahmedabad,Gujarat,Debit Card
197,582,2025-08-04,Delivered,Ahmedabad,Gujarat,Net Banking
198,168,2025-11-01,Delivered,Delhi,Delhi,Net Banking
199,78,2025-11-25,Delivered,Jaipur,Rajasthan,Cash on Delivery
200,171,2025-06-10,Delivered,Hyderabad,Telangana,Net Banking
201,684,2025-04-12,Delivered,Mumbai,Maharashtra,Net Banking
202,216,2025-10-04,Delivered,Bengaluru,Karnataka,Cash on Delivery
203,596,2025-12-21,Delivered,Chennai,Tamil Nadu,Net Banking
204,535,2025-11-22,Cancelled,Nagpur,Maharashtra,Net Banking
205,539,2025-02-11,Delivered,Ahmedabad,Gujarat,Debit Card
206,604,2025-08-02,Delivered,Hyderabad,Telangana,Net Banking
207,221,2025-11-11,Delivered,Pune,Maharashtra,UPI
208,361,2025-11-24,Cancelled,Kochi,Kerala,Credit Card
209,160,2025-10-17,Delivered,Chennai,Tamil Nadu,Cash on Delivery
210,12,2025-12-07,Delivered,Pune,Maharashtra,Net Banking
211,644,2025-12-13,Delivered,Mumbai,Maharashtra,Credit Card
212,486,2025-06-14,Delivered,Mumbai,Maharashtra,UPI
213,332,2025-06-12,Delivered,Bengaluru,Karnataka,Cash on Delivery
214,237,2025-03-20,Delivered,Chennai,Tamil Nadu,Credit Card
215,26,2025-09-10,Delivered,Nagpur,Maharashtra,Net Banking
216,415,2025-12-07,Delivered,Pune,Maharashtra,Credit Card
217,34,2025-08-05,Delivered,Jaipur,Rajasthan,Cash on Delivery
218,220,2025-05-25,Cancelled,Lucknow,Uttar Pradesh,Credit Card
219,550,2025-11-09,Delivered,Ahmedabad,Gujarat,Net Banking
220,77,2025-11-12,Delivered,Bengaluru,Karnataka,UPI
221,155,2025-11-18,Delivered,Kolkata,West Bengal,Debit Card
222,197,2025-12-03,Delivered,Kolkata,West Bengal,Cash on Delivery
223,67,2025-05-21,Delivered,Kochi,Kerala,Cash on Delivery
224,642,2025-11-28,Delivered,Chennai,Tamil Nadu,Net Banking
225,167,2025-01-23,Delivered,Delhi,Delhi,Cash on Delivery
226,549,2025-12-15,Delivered,Kolkata,West Bengal,Credit Card
227,64,2025-01-13,Cancelled,Bengaluru,Karnataka,Debit Card
228,70,2025-03-05,Returned,Ahmedabad,Gujarat,UPI
229,460,2025-08-10,Returned,Hyderabad,Telangana,Net Banking
230,385,2025-12-04,Delivered,Chennai,Tamil Nadu,Cash on Delivery
231,206,2025-11-14,Cancelled,Pune,Maharashtra,Debit Card
232,227,2025-11-01,Delivered,Kolkata,West Bengal,Cash on Delivery
233,449,2025-12-22,Delivered,,Uttar Pradesh,Debit Card
234,235,2025-07-24,Returned,Kolkata,West Bengal,UPI
235,190,2025-07-04,Cancelled,Kolkata,West Bengal,Credit Card
236,160,2025-04-02,Delivered,Chennai,Tamil Nadu,UPI
237,202,2025-12-05,Delivered,Kolkata,West Bengal,Credit Card
238,637,2025-11-09,Delivered,Mumbai,Maharashtra,Cash on Delivery
239,634,2025-10-26,Cancelled,Jaipur,Rajasthan,Net Banking
240,444,2025-11-06,Delivered,Jaipur,Rajasthan,Debit Card
241,277,2025-08-19,Cancelled,Kochi,Kerala,Credit Card
242,486,2025-11-03,Returned,Mumbai,Maharashtra,Credit Card
243,135,2025-12-12,Delivered,Ahmedabad,Gujarat,Credit Card
244,453,2025-04-07,Cancelled,Pune,Maharashtra,Cash on Delivery
245,652,2025-12-08,Delivered,Chennai,Tamil Nadu,Debit Card
246,455,2025-07-15,Delivered,Bengaluru,Karnataka,Debit Card
247,284,2025-12-13,Returned,Bengaluru,Karnataka,Net Banking
248,102,2025-05-22,Delivered,Bengaluru,Karnataka,Cash on Delivery
249,663,2025-05-28,Delivered,Pune,Maharashtra,Net Banking
250,564,2025-01-23,Delivered,Ahmedabad,Gujarat,Debit Card
251,12,2025-10-11,Delivered,Pune,Maharashtra,Debit Card
252,652,2025-07-24,Delivered,Chennai,Tamil Nadu,Credit Card
253,78,2025-11-08,Returned,Jaipur,Rajasthan,Credit Card
254,5,2025-01-25,Delivered,Hyderabad,Telangana,Credit Card
255,340,2025-04-23,Cancelled,Bengaluru,Karnataka,Debit Card
256,143,2025-04-29,Delivered,Chennai,Tamil Nadu,Debit Card
257,526,2025-11-20,Delivered,Delhi,Delhi,Cash on Delivery
258,136,2025-12-29,Delivered,Ahmedabad,Gujarat,UPI
259,676,2025-08-16,Delivered,Lucknow,Uttar Pradesh,UPI
260,80,2025-12-07,Delivered,Kochi,Kerala,Debit Card
261,228,2025-04-15,Delivered,Ahmedabad,Gujarat,Credit Card
262,171,2025-11-12,Delivered,Kolkata,West Bengal,Credit Card
263,64,2025-09-04,Delivered,Bengaluru,Karnataka,Debit Card
264,556,2025-12-29,Delivered,Mumbai,Maharashtra,Debit Card
265,48,2025-07-11,Delivered,Bengaluru,Karnataka,UPI
266,485,2025-07-08,Cancelled,Pune,Maharashtra,Debit Card
267,65,2025-01-07,Delivered,Pune,Maharashtra,Net Banking
268,556,2025-12-29,Delivered,Mumbai,Maharashtra,Cash on Delivery
269,282,2025-06-07,Cancelled,Hyderabad,Telangana,Net Banking
270,371,2025-04-12,Delivered,Ahmedabad,Gujarat,Credit Card
271,644,2025-04-09,Cancelled,Lucknow,Uttar Pradesh,UPI
272,446,2025-01-22,Delivered,Jaipur,Rajasthan,Debit Card
273,553,2025-07-09,Delivered,Bengaluru,Karnataka,Net Banking
274,215,2025-01-14,Delivered,Lucknow,Uttar Pradesh,Net Banking
275,373,2025-11-24,Delivered,Nagpur,Maharashtra,Net Banking
276,568,2025-12-04,Delivered,Hyderabad,Telangana,UPI
277,285,2025-08-17,Cancelled,Ahmedabad,Gujarat,UPI
278,78,2025-11-17,Delivered,Jaipur,Rajasthan,Cash on Delivery
279,541,2025-11-04,Delivered,Ahmedabad,Gujarat,Net Banking
280,639,2025-03-01,Delivered,Jaipur,Rajasthan,Cash on Delivery
281,575,2025-07-06,Delivered,Bengaluru,Karnataka,Credit Card
282,630,2025-11-15,Delivered,Kolkata,West Bengal,UPI
283,151,2025-04-26,Delivered,Kochi,Kerala,Credit Card
284,685,2025-03-23,Delivered,Jaipur,Rajasthan,Net Banking
285,279,2025-08-15,Cancelled,Delhi,Delhi,UPI
286,248,2025-01-29,Delivered,Nagpur,Maharashtra,Cash on Delivery
287,659,2025-12-10,Delivered,Bengaluru,Karnataka,Net Banking
288,318,2025-11-27,Delivered,Pune,Maharashtra,Cash on Delivery
289,526,2025-12-13,Delivered,Delhi,Delhi,UPI
290,644,2025-12-19,Delivered,Lucknow,Uttar Pradesh,Cash on Delivery
291,235,2025-12-31,Delivered,Kolkata,West Bengal,Net Banking
292,181,2025-04-21,Returned,Lucknow,Uttar Pradesh,UPI
293,664,2025-11-28,Delivered,Mumbai,Maharashtra,Credit Card
294,564,2025-11-06,Delivered,Ahmedabad,Gujarat,UPI
295,669,2025-12-30,Delivered,Kochi,Kerala,Cash on Delivery
296,320,2025-07-26,Delivered,Nagpur,Maharashtra,Credit Card
297,615,2025-12-09,Delivered,Ahmedabad,Gujarat,Debit Card
298,645,2025-12-18,Delivered,Lucknow,Uttar Pradesh,Credit Card
299,250,2025-11-29,Delivered,Kochi,Kerala,Credit Card
300,295,2025-10-04,Delivered,Pune,Maharashtra,Debit Card
301,11,2025-04-22,Delivered,Kochi,Kerala,Cash on Delivery
302,135,2025-07-01,Delivered,Ahmedabad,Gujarat,UPI
303,526,2025-05-09,Returned,Delhi,Delhi,UPI
304,101,2025-06-19,Delivered,Mumbai,Maharashtra,UPI
305,83,2025-07-24,Cancelled,Delhi,Delhi,Debit Card
306,303,2025-12-03,Delivered,Ahmedabad,Gujarat,Credit Card
307,497,2025-11-13,Delivered,Kolkata,West Bengal,UPI
308,640,2025-04-24,Cancelled,Bengaluru,Karnataka,Debit Card
309,460,2025-02-21,Delivered,Hyderabad,Telangana,UPI
310,23,2025-04-18,Delivered,Pune,Maharashtra,Cash on Delivery
311,585,2025-02-20,Delivered,Jaipur,Rajasthan,Credit Card
312,415,2025-03-02,Delivered,Bengaluru,Karnataka,Credit Card
313,78,2025-03-26,Delivered,Jaipur,Rajasthan,Credit Card
314,556,2025-10-10,Delivered,Mumbai,Maharashtra,UPI
315,313,2025-04-18,Delivered,Nagpur,Maharashtra,Cash on Delivery
316,637,2025-05-16,Delivered,Mumbai,Maharashtra,UPI
317,607,2025-12-11,Delivered,Ahmedabad,Gujarat,Debit Card
318,445,2025-09-11,Delivered,Ahmedabad,Gujarat,Cash on Delivery
319,616,2025-12-18,Delivered,Bengaluru,Karnataka,Credit Card
320,513,2025-01-07,Cancelled,Kochi,Kerala,Credit Card
321,698,2025-11-09,Delivered,Lucknow,Uttar Pradesh,Credit Card
322,46,2025-05-27,Delivered,Nagpur,Maharashtra,Net Banking
323,681,2025-12-04,Delivered,Hyderabad,Telangana,Debit Card
324,486,2025-02-09,Delivered,Mumbai,Maharashtra,Credit Card
325,567,2025-05-23,Delivered,Nagpur,Maharashtra,Debit Card
326,20,2025-11-27,Returned,Bengaluru,Karnataka,Cash on Delivery
327,559,2025-03-13,Delivered,Bengaluru,Karnataka,Net Banking
328,204,2025-11-28,Delivered,Ahmedabad,Gujarat,Net Banking
329,252,2025-11-01,Delivered,Mumbai,Maharashtra,Cash on Delivery
330,267,2025-08-21,Delivered,Lucknow,Uttar Pradesh,Credit Card
331,170,2025-11-26,Delivered,Nagpur,Maharashtra,Net Banking
332,218,2025-11-24,Returned,Lucknow,Uttar Pradesh,Cash on Delivery
333,655,2025-04-07,Cancelled,Ahmedabad,Gujarat,Cash on Delivery
334,437,2025-07-02,Delivered,Bengaluru,Karnataka,Debit Card
335,595,2025-01-20,Delivered,Bengaluru,Karnataka,UPI
336,157,2025-12-03,Delivered,Kochi,Kerala,Debit Card
337,681,2025-02-19,Delivered,Hyderabad,Telangana,UPI
338,600,2025-02-15,Delivered,Hyderabad,Telangana,Credit Card
339,559,2025-02-12,Delivered,Bengaluru,Karnataka,UPI
340,133,2025-11-30,Delivered,Mumbai,Maharashtra,Net Banking
341,390,2025-12-09,Delivered,Nagpur,Maharashtra,Net Banking
342,279,2025-12-17,Delivered,Delhi,Delhi,Debit Card
343,383,2025-03-26,Delivered,Kolkata,West Bengal,Net Banking
344,110,2025-03-19,Delivered,Mumbai,Maharashtra,Net Banking
345,429,2025-11-24,Delivered,Bengaluru,Karnataka,Credit Card
346,229,2025-11-14,Delivered,Kochi,Kerala,UPI
347,138,2025-11-29,Delivered,Kolkata,West Bengal,Debit Card
348,444,2025-11-06,Delivered,Jaipur,Rajasthan,Cash on Delivery
349,99,2025-11-29,Delivered,Kochi,Kerala,Net Banking
350,656,2025-12-25,Delivered,Lucknow,Uttar Pradesh,Net Banking
351,641,2025-07-11,Returned,Jaipur,Rajasthan,Credit Card
352,486,2025-10-20,Delivered,Delhi,Delhi,Cash on Delivery
353,341,2025-11-18,Cancelled,Jaipur,Rajasthan,Net Banking
354,628,2025-12-17,Cancelled,Bengaluru,Karnataka,Debit Card
355,373,2025-11-17,Delivered,Nagpur,Maharashtra,Debit Card
356,162,2025-09-07,Delivered,Bengaluru,Karnataka,Debit Card
357,49,2025-11-20,Delivered,Kochi,Kerala,Debit Card
358,513,2025-05-11,Cancelled,Delhi,Delhi,Credit Card
359,579,2025-11-06,Cancelled,Kochi,Kerala,Debit Card
360,407,2025-11-13,Delivered,Pune,Maharashtra,Cash on Delivery
361,552,2025-08-08,Delivered,Jaipur,Rajasthan,Net Banking
362,501,2025-02-28,Delivered,Kolkata,West Bengal,UPI
363,116,2025-04-30,Returned,Hyderabad,Telangana,Cash on Delivery
364,535,2025-11-21,Delivered,Pune,Maharashtra,Cash on Delivery
365,143,2025-12-12,Delivered,Chennai,Tamil Nadu,Debit Card
366,138,2025-12-23,Delivered,Delhi,Delhi,Net Banking
367,110,2025-10-03,Delivered,Nagpur,Maharashtra,UPI
368,588,2025-11-10,Returned,Chennai,Tamil Nadu,UPI
369,659,2025-12-31,Delivered,Bengaluru,Karnataka,Credit Card
370,63,2025-06-24,Delivered,Ahmedabad,Gujarat,Credit Card
371,611,2025-11-18,Delivered,Bengaluru,Karnataka,Net Banking
372,395,2025-11-28,Delivered,Kolkata,West Bengal,Debit Card
373,361,2025-04-23,Delivered,Kochi,Kerala,UPI
374,502,2025-07-27,Delivered,Nagpur,Maharashtra,Debit Card
375,556,2025-05-28,Delivered,Mumbai,Maharashtra,Cash on Delivery
376,8,2025-01-07,Delivered,Jaipur,Rajasthan,Credit Card
377,684,2025-04-27,Delivered,Mumbai,Maharashtra,UPI
378,41,2025-12-02,Delivered,Jaipur,Rajasthan,Cash on Delivery
379,382,2025-12-23,Delivered,Pune,Maharashtra,Net Banking
380,138,2025-03-31,Delivered,Delhi,Delhi,Debit Card
381,416,2025-06-27,Delivered,Hyderabad,Telangana,Credit Card
382,44,2025-12-06,Delivered,Chennai,Tamil Nadu,UPI
383,150,2025-09-15,Delivered,Pune,Maharashtra,Credit Card
384,552,2025-07-17,Delivered,Jaipur,Rajasthan,Debit Card
385,324,2025-06-15,Delivered,Delhi,Delhi,Credit Card
386,8,2025-04-04,Delivered,Jaipur,Rajasthan,Cash on Delivery
387,22,2025-05-05,Delivered,Kochi,Kerala,Debit Card
388,331,2025-12-24,Delivered,Bengaluru,Karnataka,Net Banking
389,220,2025-04-25,Cancelled,Lucknow,Uttar Pradesh,Net Banking
390,659,2025-05-07,Delivered,Bengaluru,Karnataka,UPI
391,600,2025-12-23,Delivered,Hyderabad,Telangana,Cash on Delivery
392,2,2025-12-24,Returned,Chennai,Tamil Nadu,UPI
393,270,2025-09-15,Returned,Lucknow,Uttar Pradesh,Net Banking
394,575,2025-12-04,Delivered,Bengaluru,Karnataka,Cash on Delivery
395,587,2025-12-30,Delivered,Hyderabad,Telangana,Credit Card
396,638,2025-03-31,Delivered,Nagpur,Maharashtra,Credit Card
397,339,2025-01-03,Delivered,Ahmedabad,Gujarat,Cash on Delivery
398,500,2025-11-06,Delivered,Bengaluru,Karnataka,Cash on Delivery
399,392,2025-05-04,Delivered,Ahmedabad,Gujarat,UPI
