age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,existing_debt,num_credit_lines,loan_purpose,home_ownership,debt_to_income,default
61,109227.31,0.5,568,7505.96,36,8762.26,2,home_improvement,MORTGAGE,0.149,0
30,37214.76,8.0,556,1000.0,24,20958.45,3,auto,MORTGAGE,0.59,0
33,44678.72,4.3,551,1000.0,60,16145.53,2,home_improvement,RENT,0.384,0
25,,7.9,699,24542.6,36,9956.95,4,small_business,RENT,0.715,0
53,,12.8,475,24955.68,36,9833.14,3,small_business,RENT,0.507,0
27,33346.01,0.8,567,10542.34,36,13732.36,3,debt_consolidation,OWN,0.728,1
49,36513.81,6.5,691,12316.82,36,1543.96,6,medical,MORTGAGE,0.38,0
22,65989.59,1.1,719,10246.07,24,8619.45,1,auto,RENT,0.286,0
49,26708.99,8.0,713,15403.22,36,11330.84,4,home_improvement,RENT,1.001,0
52,61451.92,5.7,614,8941.33,24,8761.81,4,home_improvement,MORTGAGE,0.288,0
62,35979.55,3.6,663,17864.39,48,14864.95,4,debt_consolidation,OWN,0.91,0
24,65383.15,0.1,529,17612.35,48,10534.43,1,auto,OWN,0.43,1
35,21429.55,3.4,733,12702.68,60,1295.27,4,debt_consolidation,MORTGAGE,0.653,0
60,87010.47,10.9,673,15464.21,48,12744.46,3,auto,RENT,0.324,0
43,29758.92,8.9,689,26454.82,24,6365.72,3,small_business,MORTGAGE,1.103,0
54,60545.33,3.6,710,10217.66,24,9967.24,9,home_improvement,RENT,0.333,0
30,78802.73,0.2,638,13131.74,12,9419.41,2,small_business,MORTGAGE,0.286,0
29,49067.88,13.1,568,9461.83,24,13077.49,1,auto,OWN,0.459,0
54,53994.59,1.6,569,1000.0,36,4883.95,4,small_business,RENT,0.109,0
21,72143.15,15.7,692,19438.53,36,3566.29,5,education,MORTGAGE,0.319,0
64,54258.9,1.6,670,20936.87,48,2246.62,3,home_improvement,MORTGAGE,0.427,0
27,75943.13,0.9,785,1000.0,24,14844.75,3,debt_consolidation,MORTGAGE,0.209,0
56,50231.8,6.6,638,15680.64,36,14656.28,3,auto,MORTGAGE,0.604,0
46,103713.53,4.9,594,10958.97,24,10306.21,5,small_business,MORTGAGE,0.205,0
31,55910.34,3.4,670,25206.0,48,6579.43,5,small_business,MORTGAGE,0.569,0
37,13513.13,1.6,681,18363.97,48,15825.53,4,debt_consolidation,MORTGAGE,2.53,1
57,15687.19,12.3,520,10808.67,60,7456.48,2,medical,MORTGAGE,1.164,1
39,64277.06,3.5,535,12932.38,12,0.0,3,debt_consolidation,MORTGAGE,0.201,1
27,35983.4,,567,22199.2,12,10757.05,2,auto,MORTGAGE,0.916,0
45,60564.61,0.7,529,14375.59,36,7601.8,8,debt_consolidation,RENT,0.363,1
28,50944.15,0.3,546,6409.06,48,12471.51,4,debt_consolidation,MORTGAGE,0.371,0
40,40398.15,3.8,641,22513.46,24,0.0,6,auto,OWN,0.557,0
22,12000.0,9.7,727,5004.71,24,6996.51,6,education,OWN,1.0,0
56,45611.34,6.6,495,22452.09,24,8799.44,5,medical,RENT,0.685,1
44,28401.24,1.7,709,18512.51,12,2015.74,5,auto,MORTGAGE,0.723,0
42,12000.0,5.9,670,26247.82,24,2764.74,7,debt_consolidation,RENT,2.418,0
39,89156.36,0.8,678,29949.85,12,16934.55,6,small_business,OWN,0.526,0
32,70290.46,1.0,510,14098.93,36,13828.34,3,education,MORTGAGE,0.397,1
30,71696.65,5.4,596,1000.0,36,9348.45,5,small_business,MORTGAGE,0.144,0
21,102110.43,3.0,697,25784.48,48,7511.04,1,debt_consolidation,RENT,0.326,0
38,77121.77,6.6,661,20098.61,36,0.0,12,education,RENT,0.261,0
50,45006.63,11.3,636,11567.36,24,7772.6,6,debt_consolidation,RENT,0.43,0
48,42473.56,1.9,791,10816.59,36,13567.21,3,small_business,RENT,0.574,0
63,59250.56,2.3,640,17706.74,12,7455.08,4,debt_consolidation,MORTGAGE,0.425,0
48,44295.24,3.3,514,21195.48,24,7394.93,7,debt_consolidation,RENT,0.645,1
46,32032.6,16.5,558,18530.08,36,6543.19,5,debt_consolidation,OWN,0.783,0
21,114750.82,3.6,686,10094.82,36,9928.75,4,debt_consolidation,MORTGAGE,0.174,0
21,72118.4,5.5,517,6745.18,60,7134.02,4,home_improvement,RENT,0.192,1
43,78141.69,8.6,523,37800.05,24,0.0,2,small_business,MORTGAGE,0.484,1
53,56504.15,0.3,618,26692.59,24,14125.88,4,auto,MORTGAGE,0.722,1
51,95484.78,27.3,544,2352.46,36,0.0,2,medical,MORTGAGE,0.025,0
37,29951.52,4.0,492,10588.39,36,18818.23,1,home_improvement,RENT,0.982,1
50,80767.41,,711,1000.0,36,23395.05,2,home_improvement,MORTGAGE,0.302,0
26,51165.1,5.1,721,32145.21,12,19059.9,5,small_business,MORTGAGE,1.001,0
45,42384.37,2.7,698,26226.47,36,0.0,6,small_business,OWN,0.619,0
43,63710.58,3.1,676,5910.41,24,5597.08,6,education,RENT,0.181,0
34,12000.0,9.1,637,21335.69,36,11713.31,3,home_improvement,RENT,2.754,0
59,46634.69,1.0,603,11233.18,36,8247.28,2,debt_consolidation,RENT,0.418,0
57,98597.22,7.1,696,1150.82,36,4817.55,3,medical,OWN,0.061,0
55,72137.55,6.3,512,14019.04,36,0.0,6,debt_consolidation,RENT,0.194,0
46,17208.53,11.2,662,23228.34,48,0.0,4,debt_consolidation,MORTGAGE,1.35,0
61,54398.7,5.6,602,13116.62,36,7273.81,4,education,RENT,0.375,0
56,81169.33,30.3,703,31578.0,48,17314.69,4,debt_consolidation,RENT,0.602,0
56,21548.09,0.1,647,17248.99,48,10417.62,1,debt_consolidation,OWN,1.284,0
41,60300.35,1.8,658,20850.8,36,3822.81,0,medical,MORTGAGE,0.409,0
58,20350.45,4.0,686,7813.14,24,0.0,6,auto,RENT,0.384,0
52,74034.37,5.4,690,6017.06,36,14610.44,6,debt_consolidation,RENT,0.279,0
50,80272.14,2.8,625,17865.36,36,5667.14,5,medical,RENT,0.293,0
62,45182.66,1.4,570,16896.17,24,16505.37,2,debt_consolidation,MORTGAGE,0.739,1
64,59890.22,9.5,584,19018.04,24,1212.43,4,auto,MORTGAGE,0.338,0
57,35847.4,24.5,634,16840.64,24,12443.12,4,small_business,RENT,0.817,0
47,39233.92,5.5,727,26702.24,48,13292.45,3,auto,RENT,1.019,0
37,61963.89,2.0,530,29796.87,36,12825.43,3,education,RENT,0.688,1
23,32822.78,8.3,553,10546.54,12,14872.8,1,auto,MORTGAGE,0.774,0
43,55834.91,29.0,691,24174.09,12,2169.7,5,debt_consolidation,RENT,0.472,0
26,23961.86,0.2,706,32975.52,24,11650.88,4,home_improvement,OWN,1.862,0
23,54457.54,4.5,595,4581.31,12,0.0,5,education,OWN,0.084,1
41,64298.41,0.3,621,6157.61,36,10281.44,5,debt_consolidation,OWN,0.256,0
53,,2.5,716,19837.65,12,13823.28,1,debt_consolidation,OWN,0.751,0
50,49461.92,2.4,736,8820.07,36,7760.3,1,auto,MORTGAGE,0.335,0
37,69106.11,3.6,662,3167.04,60,8478.5,4,small_business,RENT,0.169,1
22,67959.25,4.0,725,18175.5,36,7241.8,5,home_improvement,RENT,0.374,0
30,51571.93,15.3,707,15111.29,12,12568.09,7,education,MORTGAGE,0.537,0
48,46705.03,3.9,771,11792.43,12,7761.01,2,auto,RENT,0.419,0
45,55127.83,11.1,625,20820.02,48,13304.75,4,small_business,RENT,0.619,0
42,,8.6,647,13325.93,36,19113.75,7,education,MORTGAGE,0.506,0
46,41711.73,24.5,555,19745.58,24,5135.05,1,education,RENT,0.596,0
35,56918.1,8.9,613,7911.89,48,11524.36,4,debt_consolidation,MORTGAGE,0.341,0
49,40488.75,9.1,673,21512.24,48,9759.9,4,small_business,RENT,0.772,0
44,46847.01,2.3,523,1000.0,48,2399.37,1,small_business,RENT,0.073,0
64,55067.85,4.9,548,28227.13,48,0.0,3,education,MORTGAGE,0.513,1
53,59556.06,0.1,613,12139.89,12,7529.97,2,home_improvement,MORTGAGE,0.33,0
21,62393.57,4.4,682,12143.86,48,4469.86,5,home_improvement,MORTGAGE,0.266,0
55,81952.91,13.4,680,7686.82,60,9983.17,4,education,MORTGAGE,0.216,0
26,51029.22,0.6,693,28704.4,24,13998.13,6,debt_consolidation,MORTGAGE,0.837,0
26,31781.49,1.5,777,7255.43,36,4450.9,5,debt_consolidation,MORTGAGE,0.368,0
53,49242.49,3.0,587,10780.37,24,375.39,2,small_business,RENT,0.227,0
52,60201.19,9.2,505,2491.22,48,14951.26,3,auto,MORTGAGE,0.29,1
50,55120.84,2.9,607,10801.01,60,10263.38,6,small_business,MORTGAGE,0.382,0
39,47107.15,11.4,591,19952.4,12,10335.54,2,small_business,RENT,0.643,0
45,12000.0,1.7,814,6399.26,24,11874.43,4,small_business,RENT,1.523,0
35,,15.3,620,12694.57,36,2619.29,3,debt_consolidation,MORTGAGE,0.559,0
27,62976.56,0.7,582,22890.19,48,0.0,2,small_business,MORTGAGE,0.363,0
25,70452.94,1.6,665,8562.76,36,7885.04,6,debt_consolidation,OWN,0.233,0
43,69804.75,2.0,680,21357.34,36,2436.16,4,debt_consolidation,MORTGAGE,0.341,0
40,55151.1,3.6,609,12418.75,12,6792.71,0,home_improvement,RENT,0.348,0
22,62576.45,9.5,754,1000.0,12,10483.98,6,home_improvement,MORTGAGE,0.184,0
23,86535.29,1.1,607,22041.35,48,3896.47,1,debt_consolidation,MORTGAGE,0.3,0
56,53091.37,3.1,606,12757.75,36,0.0,4,auto,MORTGAGE,0.24,0
55,69965.84,2.6,484,15870.7,60,0.0,5,auto,RENT,0.227,1
24,67812.71,5.5,662,37148.97,36,3909.56,2,medical,OWN,0.605,0
46,62451.85,8.7,618,19105.09,36,9336.81,2,home_improvement,MORTGAGE,0.455,0
40,76041.69,1.3,702,30563.61,48,0.0,3,education,RENT,0.402,0
40,36269.85,0.1,421,12717.93,12,0.0,1,debt_consolidation,RENT,0.351,1
53,55666.86,8.8,665,19745.79,24,11579.43,3,debt_consolidation,RENT,0.563,0
37,78155.64,12.2,754,18337.47,12,0.0,2,medical,RENT,0.235,0
51,56538.44,16.1,629,20165.79,60,7025.89,5,home_improvement,RENT,0.481,0
51,68925.16,4.3,850,22085.46,36,21089.41,6,debt_consolidation,MORTGAGE,0.626,0
31,,,806,13126.81,36,16824.57,1,debt_consolidation,MORTGAGE,0.444,0
64,63845.94,1.3,598,17812.68,36,4823.93,8,medical,MORTGAGE,0.355,0
61,74386.03,4.4,775,20508.74,48,10288.11,2,education,MORTGAGE,0.414,0
49,43208.9,7.3,745,9920.51,24,10419.63,2,home_improvement,MORTGAGE,0.471,0
23,30575.09,2.4,497,17186.61,24,10775.12,5,small_business,RENT,0.915,1
46,51007.48,1.6,560,19109.4,24,2107.0,2,debt_consolidation,MORTGAGE,0.416,1
60,51739.1,1.0,612,6681.91,24,8223.19,3,debt_consolidation,OWN,0.288,0
56,46810.01,36.7,510,10307.97,12,2992.52,6,debt_consolidation,MORTGAGE,0.284,0
23,42934.33,7.5,649,6940.09,24,12597.07,3,education,MORTGAGE,0.455,0
33,76086.48,0.3,550,6186.13,36,6873.25,4,auto,RENT,0.172,0
57,33169.11,4.4,597,16892.22,36,0.0,5,auto,RENT,0.509,0
24,59758.97,1.5,652,21831.29,48,5993.74,3,debt_consolidation,OWN,0.466,0
46,54703.62,1.1,600,23314.79,60,1206.33,4,education,MORTGAGE,0.448,1
52,29161.65,14.6,745,6159.54,60,7644.64,6,medical,RENT,0.473,0
22,61267.11,2.0,807,25443.62,12,20622.57,5,small_business,RENT,0.752,0
51,43677.89,11.6,596,8724.45,36,2042.47,6,auto,RENT,0.247,0
64,45425.11,1.9,629,13597.61,24,0.0,7,education,RENT,0.299,0
60,32489.7,4.1,775,1000.0,36,14314.7,2,debt_consolidation,OWN,0.471,0
42,29658.9,2.1,642,14476.76,60,1370.78,5,medical,MORTGAGE,0.534,0
53,43770.41,2.7,765,10990.03,60,9001.19,6,debt_consolidation,RENT,0.457,0
54,52258.41,0.4,596,7783.24,12,0.0,8,debt_consolidation,RENT,0.149,0
25,39749.89,12.3,559,8738.53,48,12467.18,1,debt_consolidation,RENT,0.533,0
58,67860.6,13.3,623,1000.0,12,8530.15,6,auto,MORTGAGE,0.14,0
51,39581.7,5.6,796,23936.61,36,3689.88,7,auto,RENT,0.698,0
48,75331.56,1.2,534,16436.95,24,6728.31,4,auto,MORTGAGE,0.308,1
60,,8.6,559,2942.23,24,7887.76,4,home_improvement,RENT,0.181,0
37,50473.09,0.6,566,6015.36,36,11004.49,5,small_business,OWN,0.337,1
54,32146.36,0.4,703,8238.7,48,13497.62,3,home_improvement,RENT,0.676,0
37,72105.69,0.7,758,36835.74,24,0.0,6,auto,MORTGAGE,0.511,0
61,50238.05,3.3,707,25317.29,24,12019.66,4,debt_consolidation,MORTGAGE,0.743,0
53,25507.83,1.8,636,25019.45,12,11333.31,2,home_improvement,OWN,1.425,1
52,55345.11,1.7,721,20149.13,24,7941.62,6,education,RENT,0.508,0
35,47308.47,0.7,682,28188.19,48,16325.79,4,auto,RENT,0.941,0
25,66817.93,3.5,460,8934.47,48,9204.16,4,debt_consolidation,RENT,0.271,1
42,77815.04,1.7,533,13022.74,12,836.27,1,medical,RENT,0.178,1
50,50189.6,0.2,729,26638.6,36,5353.25,6,medical,MORTGAGE,0.637,0
39,93482.93,1.9,744,6824.6,60,11020.6,3,home_improvement,MORTGAGE,0.191,0
56,71838.58,3.6,604,13076.91,24,5657.15,5,debt_consolidation,RENT,0.261,0
28,35969.14,0.0,617,20602.78,36,3361.77,4,debt_consolidation,MORTGAGE,0.666,0
52,56828.69,10.4,684,28191.46,36,0.0,2,education,RENT,0.496,0
24,62302.74,5.7,535,12971.44,12,10057.74,4,debt_consolidation,RENT,0.37,1
43,79939.72,4.6,549,10395.73,48,0.0,3,debt_consolidation,MORTGAGE,0.13,1
24,49214.47,1.9,658,12935.62,36,10776.72,5,debt_consolidation,OWN,0.482,0
64,70289.95,0.5,637,10016.62,36,0.0,3,debt_consolidation,MORTGAGE,0.143,0
36,12000.0,0.3,670,2658.17,36,19985.0,4,home_improvement,RENT,1.887,0
23,37414.33,4.9,594,30939.19,60,1822.85,4,debt_consolidation,RENT,0.876,1
28,26883.5,8.2,660,24306.99,12,7621.86,0,debt_consolidation,RENT,1.188,0
56,57354.93,10.3,623,7634.96,24,12880.23,3,education,MORTGAGE,0.358,0
46,52046.1,4.8,654,24635.22,24,0.0,1,debt_consolidation,MORTGAGE,0.473,0
49,41307.68,15.0,629,15967.37,36,14730.96,5,debt_consolidation,MORTGAGE,0.743,0
55,42166.12,4.4,850,16004.4,36,3661.91,3,debt_consolidation,MORTGAGE,0.466,0
30,45109.33,8.9,702,23380.04,48,5803.45,7,home_improvement,OWN,0.647,0
50,108125.4,2.6,509,15048.33,36,15509.17,3,debt_consolidation,RENT,0.283,1
50,75695.32,5.6,604,16830.18,24,6878.19,2,auto,RENT,0.313,0
45,24807.76,21.9,521,18623.8,12,1660.51,6,debt_consolidation,MORTGAGE,0.818,0
38,81234.92,11.1,664,22091.38,48,0.0,3,home_improvement,OWN,0.272,0
54,51686.67,0.6,491,20350.74,24,6929.75,4,medical,MORTGAGE,0.528,1
29,62457.86,18.0,629,13275.99,12,11143.71,1,small_business,MORTGAGE,0.391,0
58,85269.06,9.8,715,19323.02,36,10888.66,6,auto,MORTGAGE,0.354,0
63,40760.71,23.9,670,9254.29,12,7073.82,5,home_improvement,RENT,0.401,0
37,42599.72,10.3,659,5298.85,48,18986.88,4,home_improvement,RENT,0.57,0
38,67453.89,12.4,614,26013.52,36,4246.91,4,home_improvement,OWN,0.449,0
52,74788.23,10.4,641,1000.0,60,0.0,3,debt_consolidation,MORTGAGE,0.013,0
57,27822.44,7.3,681,8233.1,36,14567.9,1,medical,RENT,0.82,0
64,48570.39,0.5,559,13263.41,12,6168.22,2,small_business,MORTGAGE,0.4,1
48,70004.76,0.3,616,20506.08,60,18520.43,4,auto,RENT,0.557,0
34,28281.9,2.8,611,13884.06,36,5966.19,5,medical,RENT,0.702,0
49,72952.15,1.5,743,13401.36,24,8890.7,4,auto,MORTGAGE,0.306,0
64,81370.11,0.2,714,3618.73,48,0.0,4,auto,MORTGAGE,0.044,0
46,38204.51,2.2,770,1000.0,12,3672.18,5,auto,RENT,0.122,0
57,54691.57,1.0,613,15821.71,48,12391.78,4,debt_consolidation,RENT,0.516,0
61,68718.07,5.6,722,26272.46,36,9472.6,2,small_business,MORTGAGE,0.52,0
57,59525.1,0.8,551,16577.21,36,3397.57,4,medical,MORTGAGE,0.336,0
26,33043.34,5.0,619,14617.64,48,7894.78,4,auto,RENT,0.681,0
32,70430.21,16.8,534,24013.77,12,12254.82,4,education,OWN,0.515,1
25,47041.21,7.6,595,1217.93,24,12343.47,3,small_business,MORTGAGE,0.288,0
30,33434.25,6.0,718,1000.0,60,645.07,5,small_business,RENT,0.049,0
54,44808.08,13.9,650,1000.0,60,12548.87,1,home_improvement,MORTGAGE,0.302,0
32,39363.28,0.9,587,11492.87,48,11724.27,2,small_business,MORTGAGE,0.59,1
28,65302.94,20.7,568,18959.56,24,16120.13,0,auto,RENT,0.537,0
36,70221.39,0.8,661,18547.16,36,12446.6,5,education,MORTGAGE,0.441,0
49,36605.65,0.5,607,19674.12,48,12810.92,4,education,RENT,0.887,1
31,12911.66,3.3,543,1000.0,24,0.0,1,small_business,MORTGAGE,0.077,0
26,34263.56,4.3,590,22765.89,24,0.0,8,auto,RENT,0.664,0
28,50172.24,12.5,585,4897.07,24,5759.28,2,medical,RENT,0.212,0
64,79774.57,10.9,812,19357.99,36,10684.07,1,medical,RENT,0.377,0
43,67330.59,14.3,722,5959.42,24,4407.56,6,auto,OWN,0.154,0
32,50583.52,2.4,550,5985.4,24,19816.67,5,home_improvement,MORTGAGE,0.51,1
48,65156.66,6.3,550,20610.67,36,10900.66,9,debt_consolidation,RENT,0.484,0
48,48646.5,3.1,800,23225.46,36,18547.44,8,debt_consolidation,MORTGAGE,0.859,0
32,91614.98,0.3,583,14740.35,36,9996.92,4,small_business,OWN,0.27,1
60,87058.31,7.7,614,20006.78,12,0.0,2,medical,MORTGAGE,0.23,0
56,32381.88,3.8,763,24859.05,48,13128.73,6,debt_consolidation,OWN,1.173,0
32,79549.85,1.0,511,13811.97,36,6577.14,6,debt_consolidation,MORTGAGE,0.256,1
24,77844.31,1.5,698,1000.0,24,0.0,5,home_improvement,OWN,0.013,0
29,57394.6,1.5,635,21430.78,48,13630.57,6,small_business,OWN,0.611,0
59,35848.62,0.2,674,26113.91,24,17334.27,9,medical,OWN,1.212,0
21,32945.62,2.9,709,16341.36,24,12728.42,2,auto,RENT,0.882,0
25,58455.2,4.9,595,2386.23,24,6658.93,4,auto,OWN,0.155,0
51,66262.33,10.6,666,22346.0,36,12210.23,3,home_improvement,MORTGAGE,0.522,1
53,57387.94,11.1,778,14205.74,36,9221.06,5,education,RENT,0.408,0
22,82143.98,4.4,625,10742.84,36,5734.42,6,debt_consolidation,RENT,0.201,0
58,81293.06,7.0,581,9448.51,36,16152.25,3,small_business,OWN,0.315,0
56,56055.15,12.8,577,22172.69,36,1341.68,3,small_business,MORTGAGE,0.419,0
48,34052.07,12.9,520,14385.34,48,647.9,5,medical,MORTGAGE,0.441,1
53,53110.35,1.6,633,15693.13,60,6816.5,2,medical,RENT,0.424,0
